name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ZÃ¼rich, ZH, Schweiz",2013-06-02,15.1,10.2,11.8,15.1,10.2,11.8,9.0,83.2,0.026,100,20.83,rain,0.0,0.0,24.6,12.7,251.2,1019.7,87.2,9.9,121.7,10.4,3,,2013-06-02T05:32:36,2013-06-02T21:15:35,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-03,13.5,6.8,9.6,13.5,4.4,8.9,5.0,73.4,0.0,0,0.0,,0.0,0.0,45.4,22.5,40.6,1023.2,83.6,12.4,236.2,20.5,8,,2013-06-03T05:32:03,2013-06-03T21:16:27,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-04,19.1,4.7,11.8,19.1,2.3,11.3,6.1,69.8,0.0,0,0.0,,0.0,0.0,40.2,14.7,52.2,1019.1,51.3,11.1,295.1,25.3,9,,2013-06-04T05:31:32,2013-06-04T21:17:17,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-05,22.7,8.3,15.7,22.7,7.3,15.7,8.6,64.6,0.0,0,0.0,,0.0,0.0,27.7,12.5,46.1,1015.9,32.4,13.7,337.7,29.2,9,,2013-06-05T05:31:03,2013-06-05T21:18:05,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-06,23.2,10.2,17.4,23.2,10.2,17.4,8.0,57.9,0.0,0,0.0,,0.0,0.0,27.4,11.1,43.0,1017.2,17.2,11.7,369.4,31.9,10,,2013-06-06T05:30:37,2013-06-06T21:18:52,0.92,Clear,Clear conditions throughout the day.,clear-day,"06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-07,25.3,11.1,17.8,25.3,11.1,17.8,9.6,61.0,0.0,0,0.0,,0.0,0.0,24.0,10.9,34.4,1017.4,24.6,14.3,352.8,30.5,10,,2013-06-07T05:30:13,2013-06-07T21:19:36,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-08,25.1,12.1,19.0,25.1,12.1,19.0,10.7,62.2,0.085,100,4.17,rain,0.0,0.0,22.2,9.6,47.0,1013.2,46.2,14.4,314.3,27.3,9,,2013-06-08T05:29:52,2013-06-08T21:20:19,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-09,20.8,13.8,17.0,20.8,13.8,17.0,10.7,67.5,0.034,100,8.33,rain,0.0,0.0,38.7,18.2,283.1,1009.1,85.7,11.9,160.4,14.0,7,,2013-06-09T05:29:33,2013-06-09T21:20:59,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-10,17.0,11.2,13.1,17.0,11.2,13.1,11.3,88.9,42.363,100,62.5,rain,0.0,0.0,35.4,15.9,233.6,1011.9,90.8,9.5,179.0,15.5,5,,2013-06-10T05:29:17,2013-06-10T21:21:38,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-11,17.6,12.6,14.4,17.6,12.6,14.4,11.3,82.1,0.892,100,66.67,rain,0.0,0.0,40.3,9.4,263.4,1017.5,77.4,9.1,287.6,24.9,8,,2013-06-11T05:29:03,2013-06-11T21:22:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-12,23.4,10.3,16.6,23.4,10.3,16.6,9.9,68.8,0.0,0,0.0,,0.0,0.0,20.6,10.3,255.3,1020.3,44.6,8.1,344.1,29.9,10,,2013-06-12T05:28:52,2013-06-12T21:22:48,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-13,27.3,13.1,20.0,27.3,13.1,20.0,12.2,64.0,0.0,0,0.0,,0.0,0.0,77.6,23.7,253.1,1017.1,28.4,13.1,358.6,31.0,10,,2013-06-13T05:28:44,2013-06-13T21:23:20,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-14,16.8,11.7,14.2,16.8,11.7,14.2,11.3,83.3,3.318,100,37.5,rain,0.0,0.0,77.6,15.9,50.6,1020.3,85.4,11.0,273.8,23.7,9,,2013-06-14T05:28:38,2013-06-14T21:23:50,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-15,25.1,12.2,18.1,25.1,12.2,18.1,13.3,76.3,3.137,100,25.0,rain,0.0,0.0,39.8,18.7,254.1,1015.9,55.1,10.0,310.3,26.9,9,,2013-06-15T05:28:35,2013-06-15T21:24:17,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-16,27.1,14.5,20.4,27.4,14.5,20.4,14.2,70.2,1.06,100,16.67,rain,0.0,0.0,20.5,5.8,112.9,1015.7,59.4,13.2,337.6,28.9,10,,2013-06-16T05:28:34,2013-06-16T21:24:42,0.25,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-17,32.9,17.7,25.0,32.1,17.7,24.8,14.8,57.2,0.0,0,0.0,,0.0,0.0,23.6,8.5,138.7,1011.5,21.9,17.0,329.1,28.5,9,,2013-06-17T05:28:36,2013-06-17T21:25:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-18,33.6,19.7,26.3,34.2,19.7,26.5,15.7,54.1,0.028,100,8.33,rain,0.0,0.0,59.5,12.9,59.1,1012.3,46.7,12.1,297.3,25.7,8,,2013-06-18T05:28:40,2013-06-18T21:25:25,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-19,30.2,19.1,24.9,30.2,19.1,24.9,14.7,54.7,0.0,0,0.0,,0.0,0.0,59.5,11.2,122.6,1010.7,57.7,26.7,286.8,24.7,9,,2013-06-19T05:28:47,2013-06-19T21:25:43,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-20,23.8,14.7,20.8,23.8,14.7,20.8,16.4,76.7,2.261,100,20.83,rain,0.0,0.0,74.8,34.9,283.0,1012.2,56.7,10.7,288.5,25.0,8,,2013-06-20T05:28:56,2013-06-20T21:25:58,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-21,21.7,13.9,17.6,21.7,13.9,17.6,12.2,72.5,2.26,100,29.17,rain,0.0,0.0,74.8,16.1,248.0,1016.4,73.3,11.3,198.3,16.9,6,,2013-06-21T05:29:07,2013-06-21T21:26:11,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-22,21.7,13.8,17.1,21.7,13.8,17.1,13.2,79.3,6.503,100,41.67,rain,0.0,0.0,23.5,9.5,226.1,1017.9,67.0,10.0,256.5,22.3,8,,2013-06-22T05:29:22,2013-06-22T21:26:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-23,17.0,12.7,14.4,17.0,12.7,14.4,10.9,79.6,0.275,100,41.67,rain,0.0,0.0,34.7,15.1,269.4,1017.9,86.7,10.5,212.2,18.2,6,,2013-06-23T05:29:38,2013-06-23T21:26:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06679099999,06670099999,06673099999,06613099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-24,15.5,10.3,12.2,15.5,10.3,12.2,9.0,80.7,2.988,100,62.5,rain,0.0,0.0,38.7,16.9,254.4,1021.7,89.9,10.7,138.1,12.0,4,,2013-06-24T05:29:57,2013-06-24T21:26:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-25,15.5,9.5,12.2,15.5,9.4,12.2,7.6,75.0,1.647,100,58.33,rain,0.0,0.0,31.2,11.5,280.8,1025.2,86.2,10.8,295.2,25.5,9,,2013-06-25T05:30:18,2013-06-25T21:26:36,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-26,17.0,9.4,12.9,17.0,9.4,12.9,6.2,66.1,0.054,100,20.83,rain,0.0,0.0,20.6,7.5,20.0,1027.2,78.3,11.2,313.2,27.1,9,,2013-06-26T05:30:42,2013-06-26T21:26:36,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-27,14.5,8.7,11.7,14.5,8.7,11.7,6.3,69.8,0.385,100,29.17,rain,0.0,0.0,43.4,15.1,267.1,1024.8,87.1,10.4,141.0,12.1,3,,2013-06-27T05:31:08,2013-06-27T21:26:34,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-28,17.4,9.1,13.0,17.4,9.1,13.0,6.7,68.2,0.039,100,8.33,rain,0.0,0.0,27.6,11.3,233.2,1021.9,69.9,10.7,275.1,23.7,8,,2013-06-28T05:31:36,2013-06-28T21:26:29,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-29,13.7,10.1,12.0,13.7,10.1,12.0,10.1,88.4,7.259,100,66.67,rain,0.0,0.0,31.2,14.8,221.5,1022.0,92.1,8.8,93.6,8.2,3,,2013-06-29T05:32:06,2013-06-29T21:26:21,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-06-30,20.5,12.0,15.7,20.5,12.0,15.7,10.5,74.1,0.134,100,29.17,rain,0.0,0.0,22.2,9.4,346.5,1022.9,67.0,10.5,309.4,26.7,8,,2013-06-30T05:32:39,2013-06-30T21:26:11,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-01,24.2,10.5,17.4,24.2,10.5,17.4,10.5,66.6,0.002,100,8.33,rain,0.0,0.0,27.9,7.2,13.9,1018.5,39.5,12.5,367.8,31.8,10,,2013-07-01T05:33:13,2013-07-01T21:25:58,0.77,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-02,26.2,14.4,19.2,26.2,14.4,19.2,12.5,67.6,0.472,100,8.33,rain,0.0,0.0,52.5,23.4,218.0,1015.7,62.8,10.4,211.5,18.0,6,,2013-07-02T05:33:50,2013-07-02T21:25:42,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06689099999,06679099999,06670099999,06673099999,06675099999,06660099999,06664099999,06624099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-03,17.3,14.8,15.9,17.3,14.8,15.9,14.3,90.4,20.621,100,91.67,rain,0.0,0.0,32.4,12.3,229.3,1014.6,91.8,8.2,172.2,14.9,6,,2013-07-03T05:34:29,2013-07-03T21:25:24,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-04,20.4,14.9,17.1,20.4,14.9,17.1,13.7,81.6,4.611,100,58.33,rain,0.0,0.0,25.5,11.2,271.4,1020.9,88.3,10.4,214.4,18.5,6,,2013-07-04T05:35:09,2013-07-04T21:25:04,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-05,22.3,14.8,18.2,22.3,14.8,18.2,13.6,75.3,0.004,100,4.17,rain,0.0,0.0,21.8,7.7,40.7,1026.3,77.3,10.4,292.5,25.3,9,,2013-07-05T05:35:52,2013-07-05T21:24:40,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-06,25.7,14.1,20.0,25.7,14.1,20.0,13.9,70.3,0.0,0,0.0,,0.0,0.0,36.7,16.0,46.0,1024.8,24.5,10.8,348.4,30.0,10,,2013-07-06T05:36:36,2013-07-06T21:24:15,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-07,25.3,15.2,20.3,25.3,15.2,20.3,14.5,70.5,0.0,0,0.0,,0.0,0.0,37.2,16.7,50.2,1024.2,36.1,11.4,301.8,26.2,9,,2013-07-07T05:37:23,2013-07-07T21:23:46,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-08,26.5,16.5,21.2,26.5,16.5,21.2,14.9,68.5,0.0,0,0.0,,0.0,0.0,39.7,14.6,47.9,1023.7,67.6,10.2,147.7,12.9,5,,2013-07-08T05:38:11,2013-07-08T21:23:15,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06646099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-09,26.2,15.6,21.0,26.2,15.6,21.0,14.6,67.4,0.052,100,8.33,rain,0.0,0.0,27.0,10.2,46.7,1020.1,63.6,9.9,180.0,15.5,6,,2013-07-09T05:39:01,2013-07-09T21:22:42,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-10,26.7,15.7,21.0,26.7,15.7,21.0,14.6,69.9,4.397,100,12.5,rain,0.0,0.0,25.4,11.2,39.2,1015.9,49.6,10.3,273.2,23.6,7,,2013-07-10T05:39:52,2013-07-10T21:22:06,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-11,23.9,16.2,19.8,23.9,16.2,19.8,12.7,64.2,0.0,0,0.0,,0.0,0.0,31.2,12.9,44.1,1015.5,29.5,10.5,343.3,29.7,9,,2013-07-11T05:40:46,2013-07-11T21:21:28,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2013-07-12,23.9,12.2,18.1,23.9,12.2,18.1,9.7,59.6,0.0,0,0.0,,0.0,0.0,27.5,13.1,44.8,1018.1,1.1,23.3,361.4,31.2,10,,2013-07-12T05:41:40,2013-07-12T21:20:47,0.14,Clear,Clear conditions throughout the day.,clear-day,"06679099999,06670099999,06673099999,06660099999,06664099999,06644099999"
